text,label,text_length
hmv bonus special 500 pounds of genuine hmv vouchers to be won. just answer 4 easy questions. play now! send hmv to 86688 more info:www.100percent-real.com,1,155
"aight text me when you're back at mu and i'll swing by, need somebody to get the door for me",0,92
i thk ü gotta go home by urself. cos i'll b going out shopping 4 my frens present.,0,82
sorry. || mail? ||,0,18
"wishing you and your family merry ""x"" mas and happy new year in advance..",0,73
i have had two more letters from . i will copy them for you cos one has a message for you. speak soon,0,101
ugh fuck it i'm resubbing to eve,0,32
ofcourse i also upload some songs,0,33
"didn't try, g and i decided not to head out",0,43
yar... i tot u knew dis would happen long ago already.,0,54
the hair cream has not been shipped.,0,36
all these nice new shirts and the only thing i can wear them to is nudist themed ;_; you in mu?,0,95
"the guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. i'm nervous because of course now he may have my address. should i call his boss and tell him, knowing this may get him fired?",0,240
"urgent -call 09066649731from landline. your complimentary 4* ibiza holiday or £10,000 cash await collection sae t&cs po box 434 sk3 8wp 150ppm 18+",1,146
yes.he have good crickiting mind,0,32
life has never been this much fun and great until you came in. you made it truly special for me. i won't forget you! enjoy @ one gbp/sms,1,136
oops i was in the shower when u called. hey a parking garage collapsed at university hospital. see i'm not crazy. stuff like that does happen.,0,142
pls what's the full name of joke's school cos fees in university of florida seem to actually be &lt;#&gt; k. pls holla back,0,123
how was txting and driving,0,26
great comedy..cant stop laughing da:),0,37
u havent lost me ill always b here 4u.i didnt intend 2 hurt u but i never knew how u felt about me when iwas+marine&thats what itried2tell urmom.i careabout u,0,161
hello! good week? fancy a drink or something later?,0,51
am not interested to do like that.,0,34
"fantasy football is back on your tv. go to sky gamestar on sky active and play £250k dream team. scoring starts on saturday, so register now!sky opt out to 88088",1,161
"g says you never answer your texts, confirm/deny",0,48
jamster! to get your free wallpaper text heart to 88888 now! t&c apply. 16 only. need help? call 08701213186.,1,109
"congrats! 2 mobile 3g videophones r yours. call 09063458130 now! videochat wid your mates, play java games, dload polyph music, noline rentl.",1,141
"watching cartoon, listening music &amp; at eve had to go temple &amp; church.. what about u?",0,92
"k i'll head out in a few mins, see you there",0,44
apps class varaya elaya.,0,24
do you know what mallika sherawat did yesterday? find out now @ &lt;url&gt;,0,75
nah im goin 2 the wrks with j wot bout u?,0,41
dude how do you like the buff wind.,0,35
"two fundamentals of cool life: ""walk, like you are the king""...! or ""walk like you dont care,whoever is the king""!... gud nyt",0,125
hi dude hw r u da realy mising u today,0,38
nothing lor... a bit bored too... then y dun u go home early 2 sleep today...,0,77
so lets make it saturday or monday as per convenience.,0,54
"aight we can pick some up, you open before tonight?",0,51
k..k..i'm also fine:)when will you complete the course?,0,55
got meh... when?,0,16
how did you find out in a way that didn't include all of these details,0,70
"that's fine, i'll bitch at you about it later then",0,50
i'm done...,0,11
moji just informed me that you saved our lives. thanks.,0,55
are you angry with me. what happen dear,0,39
"as i entered my cabin my pa said, '' happy b'day boss !!''. i felt special. she askd me 4 lunch. after lunch she invited me to her apartment. we went there.",0,156
so what u doing today?,0,22
lmao where's your fish memory when i need it?,0,45
omg how did u know what i ate?,0,30
"hmm ok, i'll stay for like an hour cos my eye is really sore!",0,61
some of them told accenture is not confirm. is it true.,0,55
all e best 4 ur driving tmr :-),0,31
k then 2marrow are you coming to class.,0,39
our prashanthettan's mother passed away last night. pray for her and family.,0,76
ok not a problem will get them a taxi. c ing tomorrow and tuesday. on tuesday think we r all going to the cinema.,0,113
yo yo yo byatch whassup?,0,24
bognor it is! should be splendid at this time of year.,0,54
dont kick coco when he's down,0,29
hey now am free you can call me.,0,32
you have been specially selected to receive a 2000 pound award! call 08712402050 before the lines close. cost 10ppm. 16+. t&cs apply. ag promo,1,142
congrats kano..whr s the treat maga?,0,36
okay name ur price as long as its legal! wen can i pick them up? y u ave x ams xx,0,81
"now, whats your house # again ? and do you have any beer there ?",0,64
"aight no rush, i'll ask jay",0,27
ü say until like dat i dun buy ericsson oso cannot oredi lar...,0,63
just got up. have to be out of the room very soon. …. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,0,179
"just checked out, heading out to drop off my stuff now",0,54
just finished eating. got u a plate. not leftovers this time.,0,61
"what part of ""don't initiate"" don't you understand",0,50
will do. was exhausted on train this morning. too much wine and pie. you sleep well too,0,87
ok then i come n pick u at engin?,0,33
"my planning usually stops at ""find hella weed, smoke hella weed""",0,64
actually i decided i was too hungry so i haven't left yet :v,0,60
just now saw your message.it k da:),0,35
"good afternoon, my love. it was good to see your words on ym and get your tm. very smart move, my slave ... *smiles* ... i drink my coffee and await you.",0,153
i dont want to hear philosophy. just say what happen,0,52
i'm coming back on thursday. yay. is it gonna be ok to get the money. cheers. oh yeah and how are you. everything alright. hows school. or do you call it work now,0,162
might ax well im there.,0,23
nan sonathaya soladha. why boss?,0,32
free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005. text fa to 87121 to receive entry question(std txt rate)t&c's apply 08452810075over18's,1,155
"""cheers u tex mecause u werebored! yeah okden hunny r uin wk sat?sounds likeyour havin gr8fun j! keep updat countinlots of loveme xxxxx.""",0,138
haf u found him? i feel so stupid da v cam was working.,0,55
"today is sorry day.! if ever i was angry with you, if ever i misbehaved or hurt you? plz plz just slap urself bcoz, its ur fault, i'm basically good",0,148
ok then i will come to ur home after half an hour,0,49
"night has ended for another day, morning has come in a special way. may you smile like the sunny rays and leaves your worries at the blue blue bay. gud mrng",0,156
why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,0,145
okay but i thought you were the expert,0,38
let me know how it changes in the next 6hrs. it can even be appendix but you are out of that age range. however its not impossible. so just chill and let me know in 6hrs,0,169
congratulations ur awarded 500 of cd vouchers or 125gift guaranteed & free entry 2 100 wkly draw txt music to 87066,1,115
urgent! we are trying to contact you. last weekends draw shows that you have won a £900 prize guaranteed. call 09061701939. claim code s89. valid 12hrs only,1,156
i will see in half an hour,0,26
reminder: you have not downloaded the content you have already paid for. goto http://doit. mymoby. tv/ to collect your content.,1,127
"playin space poker, u?",0,22
no screaming means shouting..,0,29
"k will do, addie &amp; i are doing some art so i'll be here when you get home",0,77
guess what! somebody you know secretly fancies you! wanna find out who it is? give us a call on 09065394973 from landline datebox1282essexcm61xn 150p/min 18,1,156
this msg is for your mobile content order it has been resent as previous attempt failed due to network error queries to customersqueries@netvision.uk.com,1,153
email alertfrom: jeri stewartsize: 2kbsubject: low-cost prescripiton drvgsto listen to email call 123,1,101
"* was a nice day and, impressively, i was sensible, went home early and now feel fine. or am i just boring?! when's yours, i can't remember.",0,140
"the house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel",0,116
"hi, the sexychat girls are waiting for you to text them. text now for a great night chatting. send stop to stop this service",1,124
"aight, you close by or still down around alex's place?",0,54
"sorry, i'll call later in meeting any thing related to trade please call arul. &lt;#&gt;",0,88
most of the tiime when i don't let you hug me it's so i don't break into tears.,0,79
remember to ask alex about his pizza,0,36
well its not like you actually called someone a punto. that woulda been worse.,0,78
"i noe la... u wana pei bf oso rite... k lor, other days den...",0,62
"same, i'm at my great aunts anniversary party in tarpon springs",0,63
"if you don't, your prize will go to another customer. t&c at www.t-c.biz 18+ 150p/min polo ltd suite 373 london w1j 6hl please call back if busy",1,144
please leave this topic..sorry for telling that..,0,49
give me a sec to think think about it,0,37
what to think no one saying clearly. ok leave no need to ask her. i will go if she come or not,0,94
pls dont forget to study,0,24
:( but your not here....,0,24
also where's the piece,0,22
hi there. we have now moved in2 our pub . would be great 2 c u if u cud come up.,0,80
i'm ok wif it cos i like 2 try new things. but i scared u dun like mah. cos u said not too loud.,0,96
ahhh. work. i vaguely remember that! what does it feel like? lol,0,64
aiyah u did ok already lar. e nydc at wheellock?,0,48
ew are you one of them?,0,23
i am on the way to tirupur.,0,27
ok..,0,4
we tried to contact you re your reply to our offer of a video handset? 750 anytime any networks mins? unlimited text? camcorder? reply or call 08000930705 now,1,158
not thought bout it... || drink in tap & spile at seven. || is that pub on gas st off broad st by canal. || ok?,0,111
"sounds gd... haha... can... wah, u yan jiu so fast liao...",0,58
sorry i now then c ur msg... yar lor so poor thing... but only 4 one night... tmr u'll have a brand new room 2 sleep in...,0,122
"arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin bite me, bite me.",0,140
tells u 2 call 09066358152 to claim £5000 prize. u have 2 enter all ur mobile & personal details @ the prompts. careful!,1,120
so when do you wanna gym harri,0,30
come to medical college at 7pm ......forward it da,0,50
private! your 2003 account statement for 07808 xxxxxx shows 800 un-redeemed s. i. m. points. call 08719899217 identifier code: 41685 expires 07/11/04,1,149
lyricalladie(21/f) is inviting you to be her friend. reply yes-910 or no-910. see her: www.sms.ac/u/hmmross stop? send stop frnd to 62468,1,137
mm i had my food da from out,0,28
where are you?when wil you reach here?,0,38
"yalru lyfu astne chikku.. bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-d",0,144
bbq this sat at mine from 6ish. ur welcome 2 come,0,49
hasn't that been the pattern recently crap weekends?,0,52
"sppok up ur mob with a halloween collection of nokia logo&pic message plus a free eerie tone, txt card spook to 8007",1,116
oh did you charge camera,0,24
you will go to walmart. i.ll stay.,0,34
spending new years with my brother and his family. lets plan to meet next week. are you ready to be spoiled? :),0,111
thanx a lot 4 ur help!,0,22
leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.rakhesh,0,103
"and stop wondering ""wow is she ever going to stop tm'ing me ?!"" because i will tm you whenever i want because you are mine ... *laughs*",0,135
you have to pls make a note of all she.s exposed to. also find out from her school if anyone else was vomiting. is there a dog or cat in the house? let me know later.,0,166
from next month get upto 50% more calls 4 ur standard network charge 2 activate call 9061100010 c wire3.net 1st4terms pobox84 m26 3uz cost £1.50 min mobcudb more,1,161
mm have some kanji dont eat anything heavy ok,0,45
"sorry, no, have got few things to do. may be in pub later.",0,58
"im cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! take care & spk sn x.",0,159
"thanks for your ringtone order, reference number x49. your mobile will be charged 4.50. should your tone not arrive please call customer services 09065989182. from: [colour=red]text[/colour]txtstar",1,197
my darling sister. how are you doing. when's school resuming. is there a minimum wait period before you reapply? do take care,0,125
wat time u finish ur lect today?,0,32
play w computer? aiyah i tok 2 u lor?,0,37
beerage?,0,8
finally the match heading towards draw as your prediction.,0,58
"yeah, probably earlier than that",0,32
"faith makes things possible,hope makes things work,love makes things beautiful,may you have all three this christmas!merry christmas!",0,133
no * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! loving u,0,119
yeah i don't see why not,0,24
how do you plan to manage that,0,30
so how's the weather over there?,0,32
lol your always so convincing.,0,30
ur cash-balance is currently 500 pounds - to maximize ur cash-in now send go to 86688 only 150p/msg. cc 08718720201 hg/suite342/2lands row/w1j6hl,1,145
"the last thing i ever wanted to do was hurt you. and i didn't think it would have. you'd laugh, be embarassed, delete the tag and keep going. but as far as i knew, it wasn't even up. the fact that you even felt like i would do it to hurt you shows you really don't know me at all. it was messy wednesday, but it wasn't bad. the problem i have with it is you have the time to clean it, but you choose not to. you skype, you take pictures, you sleep, you want to go out. i don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. you used to be good about at least making the bed.",0,790
"hack chat. get backdoor entry into 121 chat rooms at a fraction of the cost. reply neo69 or call 09050280520, to subscribe 25p pm. dps, bcm box 8027 ldn, wc1n3xx",1,161
"if we hit it off, you can move in with me :)",0,44
got smaller capacity one? quite ex...,0,37
are you in town? this is v. important,0,37
"good stuff, will do.",0,20
"yeah, where's your class at?",0,28
great. have a safe trip. dont panic surrender all.,0,50
this is my number by vivek..,0,28
ok ill send you with in &lt;decimal&gt; ok.,0,43
indeed and by the way it was either or - not both !,0,51
kinda. first one gets in at twelve! aah. speak tomo,0,51
ya:)going for restaurant..,0,26
"good! no, don‘t need any receipts—well done! (…) yes, please tell . what‘s her number, i could ring her",0,103
yesterday its with me only . now am going home.,0,47
waiting 4 my tv show 2 start lor... u leh still busy doing ur report?,0,69
"anyway i don't think i can secure anything up here, lemme know if you want me to drive down south and chill",0,107
"thanks for your ringtone order, reference number x49.your mobile will be charged 4.50. should your tone not arrive please call customer services 09065989182",1,156
no calls..messages..missed calls,0,32
ya had just now.onion roast.,0,28
lol! nah wasn't too bad thanks. its good to b home but its been quite a reality check. hows ur day been? did u do anything with website?,0,136
is that seriously how you spell his name?,0,41
wat would u like 4 ur birthday?,0,31
"pete,is this your phone still? its jenny from college and leanne.what are you up to now?:)",0,90
hmm thinking lor...,0,19
yes but can we meet in town cos will go to gep and then home. you could text at bus stop. and don't worry we'll have finished by march … ish!,0,141
u attend ur driving lesson how many times a wk n which day?,0,59
the greatest test of courage on earth is to bear defeat without losing heart....gn tc,0,85
thanks and ! or bomb and date as my phone wanted to say!,0,56
too late. i said i have the website. i didn't i have or dont have the slippers,0,78
this girl does not stay in bed. this girl doesn't need recovery time. id rather pass out while having fun then be cooped up in bed,0,130
"dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",0,152
can. dunno wat to get 4 her...,0,30
"customer place, i wil cal u sir.",0,32
"i didnt get ur full msg..sometext is missing, send it again",0,59
"i'd say that's a good sign but, well, you know my track record at reading women",0,79
i take it we didn't have the phone callon friday. can we assume we won't have it this year now?,0,95
one small prestige problem now.,0,31
so how are you really. what are you up to. how's the masters. and so on.,0,72
should i tell my friend not to come round til like &lt;#&gt; ish?,0,65
"lol, oh you got a friend for the dog ?",0,38
dont think you need yellow card for uk travel. ask someone that has gone before. if you do its just &lt;#&gt; bucks,0,115
"you might want to pull out more just in case and just plan on not spending it if you can, i don't have much confidence in derek and taylor's money management",0,157
eastenders tv quiz. what flower does dot compare herself to? d= violet e= tulip f= lily txt d e or f to 84025 now 4 chance 2 win £100 cash wkent/150p16+,1,152
please tell me not all of my car keys are in your purse,0,55
1 in cbe. 2 in chennai.,0,23
ok. but i finish at 6.,0,22
right it wasnt you who phoned it was someone with a number like yours!,0,70
s.s:)i thinl role is like sachin.just standing. others have to hit.,0,67
okie ü wan meet at bishan? cos me at bishan now. i'm not driving today.,0,71
do u still have plumbers tape and a wrench we could borrow?,0,59
07732584351 - rodger burns - msg = we tried to call you re your reply to our sms for a free nokia mobile + free camcorder. please call now 08000930705 for delivery tomorrow,1,172
"1000's flirting now! txt girl or bloke & ur name & age, eg girl zoe 18 to 8007 to join and get chatting!",1,104
private! your 2003 account statement for 078,1,44
ok i am on the way to home hi hi,0,32
i can make lasagna for you... vodka...,0,38
thx. all will be well in a few months,0,37
nothing but we jus tot u would ask cos u ba gua... but we went mt faber yest... yest jus went out already mah so today not going out... jus call lor...,0,151
"why is that, princess? i bet the brothas are all chasing you!",0,61
ard 530 lor. i ok then message ü lor.,0,37
hey anyway i have to :-),0,24
let there be snow. let there be snow. this kind of weather brings ppl together so friendships can grow.,0,103
last chance 2 claim ur £150 worth of discount vouchers-text yes to 85023 now!savamob-member offers mobile t cs 08717898035. £3.00 sub. 16 . remove txt x or stop,1,160
so what about you. what do you remember,0,39
nt joking seriously i told,0,26
"thanks da thangam, i feel very very happy dear. i also miss you da.",0,67
yes. they replied my mail. i'm going to the management office later. plus will in to bank later also.or on wednesday.,0,117
"bloody hell, cant believe you forgot my surname mr . ill give u a clue, its spanish and begins with m...",0,104
*deep sigh* ... i miss you :-( ... i am really surprised you haven't gone to the net cafe yet to get to me ... don't you miss me?,0,129
dude sux for snake. he got old and raiden got buff,0,50
ya very nice. . .be ready on thursday,0,37
did u see what i posted on your facebook?,0,41
i'm okay. chasing the dream. what's good. what are you doing next.,0,66
i will reach ur home in &lt;#&gt; minutes,0,41
i'm job profile seems like bpo..,0,32
the battery is for mr adewale my uncle. aka egbon,0,49
zoe it just hit me 2 im fucking shitin myself il defo try my hardest 2 cum 2morow luv u millions lekdog,0,103
"dear,me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.",0,169
it has issues right now. ill fix for her by tomorrow.,0,53
hope youre not having too much fun without me!! see u tomorrow love jess x,0,75
howz that persons story,0,23
yeah confirmed for you staying at that weekend,0,46
mm so you asked me not to call radio,0,36
great. p diddy is my neighbor and comes for toothpaste every morning,0,68
idk. i'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. nobody wants me and now i feel like i'm failing you.,0,184
aiyo a bit pai seh ü noe... scared he dun rem who i am then die... hee... but he become better lookin oredi leh...,0,114
congrats! nokia 3650 video camera phone is your call 09066382422 calls cost 150ppm ave call 3mins vary from mobiles 16+ close 300603 post bcm4284 ldn wc1n3xx,1,157
"hi, this is mandy sullivan calling from hotmix fm...you are chosen to receive £5000.00 in our easter prize draw.....please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....",1,223
"""hi its kate it was lovely to see you tonight and ill phone you tomorrow. i got to sing and a guy gave me his card! xxx""",0,120
ok lor wat time ü finish?,0,25
i'm still looking for a car to buy. and have not gone 4the driving test yet.,0,76
urgent! your mobile number has been awarded with a £2000 prize guaranteed. call 09058094454 from land line. claim 3030. valid 12hrs only,1,136
aaooooright are you at work?,0,28
aft i finish my lunch then i go str down lor. ard 3 smth lor. u finish ur lunch already?,0,88
pls accept me for one day. or am begging you change the number.,0,63
there's no point hangin on to mr not right if he's not makin u happy,0,68
oh k :)why you got job then whats up?,0,37
"haha good to hear, i'm officially paid and on the market for an 8th",0,67
also remember the beads don't come off. ever.,0,45
at home watching tv lor.,0,24
i am great! how are you?,0,24
"cool breeze... bright sun... fresh flower... twittering birds... all these waiting to wish u: ""goodmorning &amp; have a nice day"" :)",0,132
i know she called me,0,20
